,Counts
0,5848
1,5877
2,5896
3,5876
4,5866
5,5895
6,5907
7,5867
8,5908
9,5870
10,5903
11,5912
12,5898
13,5918
14,5914
15,5923
16,5912
17,5894
18,5896
19,5873
20,5895
21,5865
22,5851
23,5832
24,5857
25,5879
26,5883
27,5872
28,5874
29,5903
30,5866
31,5917
32,5869
33,5901
34,5862
35,5900
36,5921
37,5894
38,5887
39,5877
40,5862
41,5857
42,5853
43,5861
44,5889
45,5883
46,5906
47,5911
48,5895
49,5900
50,5903
51,5900
52,5903
53,5888
54,5916
55,5896
56,5891
57,5919
58,5925
59,5923
60,5927
61,5942
62,5942
63,5934
64,5918
65,5941
66,5955
67,5949
68,5944
69,5929
70,5945
71,5913
72,5956
73,5967
74,5976
75,5941
76,5930
77,5944
78,5951
79,5966
80,5968
81,6013
82,6025
83,6001
84,5993
85,6005
86,5986
87,6002
88,6009
89,6004
90,5975
91,5970
92,5974
93,5983
94,5990
95,5975
96,5965
97,5974
98,5975
99,5976
100,5986
101,6017
102,5984
103,6019
104,6040
105,6010
106,6029
107,6042
108,6025
109,6028
110,6022
111,6023
112,6028
113,6035
114,6008
115,6019
116,5991
117,6003
118,6005
119,5975
120,5992
121,5977
122,5956
123,5962
124,5928
125,5974
126,5990
127,6058
128,6057
129,6052
130,6043
131,6064
132,6062
133,6060
134,6095
135,6076
136,6078
137,6050
138,6041
139,6067
140,6071
141,6041
142,6042
143,6020
144,6025
145,6001
146,6021
147,6006
148,6002
149,5990
150,6043
151,5998
152,6043
153,6007
154,6035
155,6029
156,6034
157,6058
158,6068
159,6052
160,6053
161,6036
162,6023
163,6032
164,6000
165,6025
166,6009
167,5964
168,5978
