Date,Time,CPA,Width,Speed_km_s,KineticEnergy_J
1996/08/16,14:14:06,Halo,360,364,5.6e+14*
1996/11/07,23:20:05,Halo,360,497,4.2e+15*
1996/12/02,15:35:05,Halo,360,538,1.6e+15*
1997/01/06,15:10:42,Halo,360,136,5.8e+14*
1997/02/07,00:30:05,Halo,360,490,4.1e+15*
1997/04/07,14:27:44,Halo,360,878,1.0e+16*
1997/04/27,10:26:05,Halo,360,280,4.5e+14*
1997/04/27,14:59:05,Halo,360,255,2.5e+14*
1997/07/30,04:45:47,Halo,360,104,8.2e+14*
1997/08/30,01:30:35,Halo,360,371,1.7e+15*
1997/09/17,20:28:48,Halo,360,377,2.6e+15*
1997/09/28,01:08:33,Halo,360,359,4.0e+15*
1997/10/21,18:03:45,Halo,360,523,9.5e+14*
1997/10/23,11:26:50,Halo,360,503,8.2e+15*
1997/11/04,06:10:05,Halo,360,785,7.5e+15*
1997/11/06,12:10:41,Halo,360,1556,5.5e+15*
1997/11/17,08:27:05,Halo,360,611,8.2e+15*
1997/12/18,23:47:31,Halo,360,417,8.3e+15*
1998/01/02,23:28:20,Halo,360,438,5.5e+15*
1998/01/17,04:09:20,Halo,360,350,1.6e+15*
1998/01/21,06:37:25,Halo,360,361,2.6e+15*
1998/01/25,15:26:34,Halo,360,693,1.1e+16*
1998/03/29,03:48:28,Halo,360,1397,1.7e+16*
1998/03/31,06:12:02,Halo,360,1992,1.6e+16*
1998/04/23,05:55:22,Halo,360,1691,5.5e+15*
1998/04/27,08:56:06,Halo,360,1385,2.2e+16*
1998/04/29,16:58:54,Halo,360,1374,1.0e+16*
1998/05/01,23:40:09,Halo,360,585,6.8e+15*
1998/05/02,05:31:56,Halo,360,542,1.5e+15*
1998/05/02,14:06:12,Halo,360,938,7.7e+15*
1998/06/04,02:04:45,Halo,360,1802,5.3e+15*
1998/06/05,12:01:53,Halo,360,320,4.8e+15*
1998/06/07,09:32:08,Halo,360,749,5.5e+15*
1998/06/20,18:20:37,Halo,360,964,4.3e+15*
1998/10/24,03:18:11,Halo,360,332,7.8e+15*
1998/10/25,12:54:06,Halo,360,839,7.2e+15*
1998/11/04,07:54:06,Halo,360,523,1.6e+16*
1998/11/05,02:02:52,Halo,360,380,1.9e+15*
1998/11/05,20:44:02,Halo,360,1118,2.1e+16*
1998/11/07,11:54:05,Halo,360,632,2.9e+14*
