Timestamp,FractionalDate,UncorrectedCountRate[cts/min],CorrectedCountRate[cts/min],Pressure[mbar]
2018-01-01T00:00:00Z,1.0000000,6623,6601,999.29
2018-01-01T01:00:00Z,1.0416667,6620,6568,998.69
2018-01-01T02:00:00Z,1.0833333,6673,6598,998.22
2018-01-01T03:00:00Z,1.1250000,6675,6586,997.93
2018-01-01T04:00:00Z,1.1666667,6692,6582,997.51
2018-01-01T05:00:00Z,1.2083333,6714,6571,996.84
2018-01-01T06:00:00Z,1.2500000,6753,6599,996.63
2018-01-01T07:00:00Z,1.2916667,6773,6609,996.46
2018-01-01T08:00:00Z,1.3333333,6771,6601,996.31
2018-01-01T09:00:00Z,1.3750000,6832,6652,996.15
2018-01-01T10:00:00Z,1.4166667,6817,6624,995.87
2018-01-01T11:00:00Z,1.4583333,6842,6637,995.64
2018-01-01T12:00:00Z,1.5000000,6809,6583,995.19
2018-01-01T13:00:00Z,1.5416667,6873,6614,994.55
2018-01-01T14:00:00Z,1.5833333,6883,6604,994.17
2018-01-01T15:00:00Z,1.6250000,6906,6602,993.68
2018-01-01T16:00:00Z,1.6666667,6877,6563,993.43
2018-01-01T17:00:00Z,1.7083333,6923,6583,992.95
2018-01-01T18:00:00Z,1.7500000,6908,6555,992.66
2018-01-01T19:00:00Z,1.7916667,6937,6579,992.60
2018-01-01T20:00:00Z,1.8333333,6921,6554,992.39
2018-01-01T21:00:00Z,1.8750000,6935,6557,992.16
2018-01-01T22:00:00Z,1.9166667,6997,6591,991.68
2018-01-01T23:00:00Z,1.9583333,6969,6548,991.33
2018-01-02T00:00:00Z,2.0000000,7028,6581,990.88
2018-01-02T01:00:00Z,2.0416667,7046,6580,990.50
2018-01-02T02:00:00Z,2.0833333,7056,6559,989.89
2018-01-02T03:00:00Z,2.1250000,7094,6579,989.58
2018-01-02T04:00:00Z,2.1666667,7113,6584,989.31
2018-01-02T05:00:00Z,2.2083333,7113,6576,989.15
2018-01-02T06:00:00Z,2.2500000,7161,6618,989.12
2018-01-02T07:00:00Z,2.2916667,7155,6612,989.10
2018-01-02T08:00:00Z,2.3333333,7167,6635,989.35
2018-01-02T09:00:00Z,2.3750000,7163,6638,989.47
2018-01-02T10:00:00Z,2.4166667,7137,6629,989.78
2018-01-02T11:00:00Z,2.4583333,7095,6610,990.19
2018-01-02T12:00:00Z,2.5000000,7087,6628,990.71
2018-01-02T13:00:00Z,2.5416667,7046,6615,991.23
2018-01-02T14:00:00Z,2.5833333,7022,6618,991.75
2018-01-02T15:00:00Z,2.6250000,6973,6604,992.39
2018-01-02T16:00:00Z,2.6666667,6922,6592,993.15
2018-01-02T17:00:00Z,2.7083333,6858,6563,993.81
2018-01-02T18:00:00Z,2.7500000,6838,6564,994.24
2018-01-02T19:00:00Z,2.7916667,6817,6566,994.69
2018-01-02T20:00:00Z,2.8333333,6800,6573,995.16
2018-01-02T21:00:00Z,2.8750000,6806,6582,995.24
2018-01-02T22:00:00Z,2.9166667,6797,6572,995.19
2018-01-02T23:00:00Z,2.9583333,6804,6572,995.06
2018-01-03T00:00:00Z,3.0000000,6819,6578,994.89
2018-01-03T01:00:00Z,3.0416667,6851,6590,994.51
